league_name,league_id,league_country
Baiano - 1,602,Brazil
Sergipano,626,Brazil
Paranaense - 1,606,Brazil
Matogrossense,630,Brazil
Catarinense - 1,604,Brazil
League Cup,168,Iceland
Capixaba,611,Brazil
Piauiense,621,Brazil
Sul-Matogrossense,623,Brazil
Tocantinense,631,Brazil
Brasiliense,610,Brazil
Paraense,627,Brazil
Mineiro - 1,629,Brazil
Amazonense,522,Brazil
Super Cup,527,Chile
São Paulo Youth Cup,618,Brazil
Cearense - 2,620,Brazil
Premier League,398,Bangladesh
SheBelieves Cup,904,World
Victoria NPL,195,Australia
Pernambucano - 1,622,Brazil
First Division,358,Ireland
Copa Argentina,130,Argentina
Capital Territory NPL,189,Australia
Victoria NPL 2,836,Australia
2. Division - Group 2,474,Norway
2. Division - Group 1,473,Norway
Super Cup,812,Belarus
Division Intermedia,251,Paraguay
Euro Championship - Qualification,960,World
Tipsport Malta Cup,900,World
Super Cup,831,Vietnam
Major League Soccer,253,USA
Copa Verde,843,Brazil
Úrvalsdeild,164,Iceland
CONMEBOL Libertadores,13,World
Úrvalsdeild Women,671,Iceland
CONMEBOL Sudamericana,11,World
Acreano,520,Brazil
Super Cup,639,Iceland
Super Cup,548,Japan
Sudamericano U20,773,World
Liga Panameña de Fútbol,304,Panama
League Cup,899,Finland
Northern NSW NPL,481,Australia
New South Wales NPL 2,835,Australia
New South Wales NPL,192,Australia
J3 League,100,Japan
J2 League,99,Japan
J1 League,98,Japan
Ettan - Norra,563,Sweden
Ettan - Södra,564,Sweden
The Atlantic Cup,903,World
Super Cup,826,Saudi-Arabia
Africa Cup of Nations U20,538,World
Primera División,265,Chile
Elite One,411,Cameroon
Elite Two,813,Cameroon
Primera Nacional,129,Argentina
Friendlies,10,World
Friendlies Women,666,World
V.League 1,340,Vietnam
USL Championship,255,USA
Primera División,281,Peru
2. Deild,166,Iceland
1. Deild,165,Iceland
Trofeo de Campeones de la Superliga,517,Argentina
USL League One,489,USA
Rondoniense,615,Brazil
NPFL,399,Nigeria
Nasjonal U19 Champions League,823,Norway
Primera B Metropolitana,131,Argentina
Friendlies Clubs,667,World
Primera A,239,Colombia
Primera B,266,Chile
Primera C,132,Argentina
Damallsvenskan,549,Sweden
Reserve League,906,Argentina
Queensland Premier League,833,Australia
Queensland NPL,482,Australia
Elitettan,736,Sweden
Copa Colombia,241,Colombia
1. Deild,366,Faroe-Islands
Meistaradeildin,367,Faroe-Islands
Primera B,240,Colombia
Brisbane Premier League,191,Australia
Rock Cup,837,Gibraltar
South Australia NPL,194,Australia
South Australia State League 1,834,Australia
Super Cup,839,Lithuania
Division 2 - Södra Svealand,595,Sweden
Division 2 - Norra Götaland,592,Sweden
Division 2 - Norra Svealand,593,Sweden
Division 2 - Västra Götaland,596,Sweden
Division 2 - Norrland,594,Sweden
Division 2 - Östra Götaland,597,Sweden
Super Cup,819,Kosovo
Superliga,713,Colombia
J-League Cup,101,Japan
Liga Femenina,712,Colombia
Primera División - Apertura,268,Uruguay
Liga Pro,242,Ecuador
A Division,590,Nepal
Veikkausliiga,244,Finland
Japan Football League,497,Japan
K League 2,293,South-Korea
Super League,278,Malaysia
Emir Cup,824,Qatar
Canadian Premier League,479,Canada
Premier League,368,Singapore
I-League - 2nd Division,717,India
Premier League,389,Kazakhstan
Super Cup,818,Kazakhstan
Primera División,299,Venezuela
A Lyga,362,Lithuania
1. Division Women,915,Norway
Toppserien,725,Norway
Kansallinen Liiga,640,Finland
Ykkönen,245,Finland
Canadian Championship,259,Canada
National Football League,376,Fiji
Suomen Cup,246,Finland
Kakkonen - Lohko A,247,Finland
Kakkonen - Lohko B,248,Finland
Kakkonen - Lohko C,249,Finland
Erovnuli Liga,327,Georgia
Erovnuli Liga 2,326,Georgia
Primera División,344,Bolivia
Meistriliiga,329,Estonia
Super League,369,Uzbekistan
Esiliiga A,328,Estonia
Eliteserien,103,Norway
Allsvenskan,113,Sweden
1. Division,104,Norway
Superettan,114,Sweden
Premier Division,357,Ireland
K League 1,292,South-Korea
US Open Cup,257,USA
National League,588,Myanmar
K3 League,295,South-Korea
NWSL Women,254,USA
NWSL Women - Challenge Cup,641,USA
Primera D,133,Argentina
Copa Do Brasil,73,Brazil
OFC Champions League,27,World
Primera Division,907,Cuba
Pro League,591,Trinidad-And-Tobago
CONCACAF U17,963,World
Serie A,71,Brazil
NISA,523,USA
Segunda División,269,Uruguay
Segunda División,711,Chile
Brasileiro Women,74,Brazil
FA Cup,500,Malaysia
Super Copa,810,Argentina
Cup,498,Kazakhstan
Serie B,72,Brazil
Lao League,647,Laos
Copa de la División Profesional,964,Bolivia
Virsliga,365,Latvia
Premier League,116,Belarus
Reserve League,562,Belarus
Torneo Federal A,134,Argentina
FA Cup,294,South-Korea
Cup,167,Iceland
Brasileiro U20 A,740,Brazil
Tasmania NPL,648,Australia
Cup,341,Vietnam
Premier Soccer League,401,Zimbabwe
1 Lyga,361,Lithuania
AFC U20 Asian Cup,965,World
Liga Pro Serie B,243,Ecuador
Arab Club Champions Cup,768,World
Serie C,75,Brazil
Serie D,76,Brazil
WK-League,660,South-Korea
Copa Chile,267,Chile
V.League 2,637,Vietnam
Western Australia NPL,196,Australia
Supreme Division Women,649,Russia
Segunda División,300,Venezuela
League 1 Ontario,923,Canada
World Cup - Women,8,World
National League - Central,954,New-Zealand
Leagues Cup,772,World
National League - Southern,957,New-Zealand
National League - Northern,956,New-Zealand
Roraimense,607,Brazil
AIFF Super Cup,545,India
Vysshaya Liga,571,Tajikistan
Liga Mayor,759,Dominican-Republic
MLS Next Pro,909,USA
Youth Viareggio Cup,910,World
1. Division,117,Belarus
Cup,802,Uzbekistan
Amapaense,521,Brazil
1. Division,388,Kazakhstan
Mineiro - 2,619,Brazil
Premier League,569,Kyrgyzstan
Carioca A2,851,Brazil
Baiano - 2,613,Brazil
Paranaense - 2,614,Brazil
Primeira Divisão,969,Macao
1. Liga,364,Latvia
Segunda División,282,Peru
Catarinense - 2,936,Brazil
CONMEBOL - U17,970,World
UEFA U17 Championship,921,World
Løgmanssteypid,491,Faroe-Islands
Tournoi Maurice Revello,914,World
Super League,391,Malawi
Southeast Asian Games,911,World
Super League,169,China
Super Cup,972,China
Ýokary Liga,636,Turkmenistan
Super Cup,539,Egypt
Gaúcho - 2,478,Brazil
Pacific Coast Soccer League,260,Canada
Northern Territory Premier League,193,Australia
Taiwan Football Premier League,589,Chinese-Taipei
Cup,661,Lithuania
2. Division,118,Belarus
League One,170,China
UEFA U19 Championship,493,World
CONCACAF Gold Cup,22,World
CONCACAF Gold Cup - Qualification,858,World
World Cup - U20,490,World
League Two,929,China
MLS All-Star,866,USA
League,387,Jordan
Cup,658,Latvia
UEFA U19 Championship - Women,918,World
Super League,413,Bhutan
USL League Two,256,USA
CAF Cup of Nations - U17,973,World
Taça Revelação U23,840,Portugal
Copa Paulista,742,Brazil
Dhivehi Premier League,855,Maldives
David Kipiani Cup,672,Georgia
Super Cup,727,Poland
FA Cup,171,China
Canadian Soccer League,258,Canada
Emperor Cup,102,Japan
SAFF Championship,28,World
U20 Elite League,890,World
NM Cupen,105,Norway
Svenska Cupen,115,Sweden
Copa Paraguay,501,Paraguay
Coppa,486,Belarus
AFF U23 Championship,908,World
Trophée des Champions,526,France
Campeón de Campeones,857,Mexico
Liga 1,274,Indonesia
Super Cup,529,Germany
Community Shield,528,England
Super Cup,550,Portugal
Cup,657,Estonia
FAI Cup,359,Ireland
CONMEBOL Libertadores U20,540,World
COSAFA Cup,859,World
Liga MX,262,Mexico
Australia Cup,874,Australia
Super Cup,659,Israel
Super Cup,530,Georgia
League Cup,185,Scotland
UEFA Super Cup,531,World
3. Division - Girone 1,774,Norway
3. Division - Girone 2,775,Norway
3. Division - Girone 3,776,Norway
3. Division - Girone 4,777,Norway
3. Division - Girone 5,778,Norway
3. Division - Girone 6,779,Norway
CAFA Nations Cup,1008,World
CAF Super Cup,533,World
Asian Cup,7,World
UEFA Champions League,2,World
HNL,210,Croatia
Super Cup,663,Russia
Superliga,119,Denmark
AFC U17 Asian Cup,1012,World
Premier League,39,England
Liga Nacional,339,Guatemala
Primera División,162,Costa-Rica
Ekstraklasa,106,Poland
All-Island Cup - Women,1013,World
Emirates Cup,937,World
Malaysia Cup,499,Malaysia
DFB Pokal,81,Germany
UEFA Europa Conference League,848,World
Ligat Ha'al,383,Israel
Premier League,110,Wales
Toto Cup Ligat Al,385,Israel
1. Division,120,Denmark
I Liga,107,Poland
Primera Division,338,Guatemala
La Liga,140,Spain
Challenge League,208,Switzerland
Jupiler Pro League,144,Belgium
Cup,108,Poland
Cup,967,Lebanon
Premier League,390,Lebanon
AFC Champions League,17,World
AFC Cup,18,World
II Liga - East,109,Poland
Second League,173,Bulgaria
League One,41,England
League Two,42,England
League Cup,48,England
Challenger Pro League,145,Belgium
Pro League,301,United-Arab-Emirates
Super League Women,146,Belgium
CAF U23 Cup of Nations,1015,World
Liga MX Femenil,673,Mexico
FNL,346,Czech-Republic
NB I,271,Hungary
2. SNL,374,Slovenia
Premier League,235,Russia
Second League,356,Montenegro
Kvindeliga,638,Denmark
Cup,220,Austria
Bundesliga,218,Austria
Super Liga,332,Slovakia
Premier League,393,Malta
Second League - Group 4,653,Russia
Second League - Group 3,650,Russia
Second League - Group 2,652,Russia
Second League - Group 1,651,Russia
Football League - Lowland League,731,Scotland
Football League - Highland League,730,Scotland
League Cup,738,Wales
FAW Championship,111,Wales
2. Liga,219,Austria
Eerste Divisie,89,Netherlands
Ligue 1,61,France
Segunda División,141,Spain
Challenge League,392,Malta
Campeones Cup,885,World
U23 League,1017,Mexico
Supercopa,864,Costa-Rica
Ligue 2,62,France
1. Liga U19,668,Czech-Republic
DFB Pokal - Women,947,Germany
Supercupa,555,Romania
Copa Paulino Alcantara,867,Philippines
Premier Intermediate League,561,Northern-Ireland
Denmark Series - Group 1,124,Denmark
Denmark Series - Group 2,125,Denmark
Denmark Series - Group 3,126,Denmark
Denmark Series - Group 4,127,Denmark
UEFA Champions League Women,525,World
Federation Cup,1018,Lebanon
Charity Shield,1019,Northern-Ireland
Championship,40,England
First NL,211,Croatia
First League,172,Bulgaria
I Liga - Women,733,Slovakia
Super League,207,Switzerland
2. Bundesliga,79,Germany
Bundesliga,78,Germany
First Amateur Division,487,Belgium
Czech Liga,345,Czech-Republic
Schweizer Cup,209,Switzerland
Liga I,283,Romania
Championship,407,Northern-Ireland
First League,355,Montenegro
Premiership,408,Northern-Ireland
1. SNL,373,Slovenia
Premijer Liga,315,Bosnia
League Two,184,Scotland
Championship,180,Scotland
League One,183,Scotland
Liga Leumit,382,Israel
Taça da Liga,97,Portugal
Calcutta Premier Division,1020,India
Youth Championship,238,Russia
Cup,347,Czech-Republic
1. Liga Women,669,Czech-Republic
Serie A,135,Italy
3. Division,862,Denmark
Ligue 1,424,Congo-DR
2. Division,122,Denmark
First League,236,Russia
Super Cup,852,Cyprus
Liga de Expansión MX,263,Mexico
Challenge Cup,182,Scotland
Cup,761,Liechtenstein
DBU Pokalen,121,Denmark
KNVB Beker,90,Netherlands
Super Cup Primavera,817,Italy
Regionalliga - Mitte,222,Austria
Regionalliga - Ost,221,Austria
Regionalliga - West,223,Austria
4. liga - Divizie A,350,Czech-Republic
4. liga - Divizie B,351,Czech-Republic
4. liga - Divizie C,352,Czech-Republic
4. liga - Divizie D,353,Czech-Republic
4. liga - Divizie E,354,Czech-Republic
4. liga - Divizie F,686,Czech-Republic
2. liga,506,Slovakia
Eredivisie,88,Netherlands
1a Divisão - Women,948,Portugal
National League,43,England
1. Liga Promotion,510,Switzerland
III Liga - Group 1,780,Poland
III Liga - Group 2,781,Poland
III Liga - Group 3,782,Poland
III Liga - Group 4,783,Poland
Super Cup,884,San-Marino
Thai League 1,296,Thailand
3. Liga,80,Germany
Cupa României,285,Romania
1. Liga Classic - Group 1,599,Switzerland
1. Liga Classic - Group 2,600,Switzerland
1. Liga Classic - Group 3,601,Switzerland
National League - North,50,England
National League - South,51,England
Cup,237,Russia
Frauenliga,484,Austria
CONCACAF Nations League,536,World
Premier League,342,Armenia
Primera Division,396,Nicaragua
AXA Women’s Super League,739,Switzerland
Second Amateur Division - ACFF,148,Belgium
Second Amateur Division - VFV A,149,Belgium
Second Amateur Division - VFV B,150,Belgium
FA Trophy,47,England
Premier League,333,Ukraine
Svenska Cupen - Women,737,Sweden
FA Cup,45,England
Serie B,136,Italy
Liga Revelação U23,701,Portugal
Primeira Liga,94,Portugal
Landesliga - Wien,232,Austria
Landesliga - Niederosterreich,226,Austria
Landesliga - Tirol,230,Austria
Landesliga - Karnten,225,Austria
Landesliga - Burgenland,224,Austria
Landesliga - Salzburg,228,Austria
Landesliga - Vorarlbergliga,231,Austria
Landesliga - Oberosterreich,227,Austria
Landesliga - Steiermark,229,Austria
CONCACAF Caribbean Club Championship,856,World
DFB Junioren Pokal,715,Germany
C-League,410,Cambodia
1st League - RS,317,Bosnia
1st League - FBiH,316,Bosnia
U19 Bundesliga,488,Germany
Super Cup,1021,Croatia
Premier League - Summer Series,1022,England
Cup,680,Slovakia
Persha Liga,334,Ukraine
Cup,147,Belgium
Super Liga,394,Moldova
Thai Champions Cup,873,Thailand
National Division,261,Luxembourg
Segunda Liga,95,Portugal
Copa Costa Rica,958,Costa-Rica
Feminine Division 1,64,France
Third League - Northeast,175,Bulgaria
Third Amateur Division - ACFF A,689,Belgium
Third Amateur Division - ACFF B,690,Belgium
Third Amateur Division - VFV A,151,Belgium
Third Amateur Division - VFV B,152,Belgium
Provincial - Hainaut,155,Belgium
Provincial - Namur,159,Belgium
Provincial - Liege,156,Belgium
Provincial - Brabant VFV,154,Belgium
Provincial - Antwerpen,153,Belgium
Provincial - West-Vlaanderen,161,Belgium
Provincial - Oost-Vlaanderen,160,Belgium
Provincial - Limburg,157,Belgium
Provincial - Luxembourg,158,Belgium
Provincial - Brabant ACFF,691,Belgium
Frauen Bundesliga,82,Germany
National 1,63,France
NB III - Southwest,634,Hungary
NB III - Northwest,635,Hungary
NB III - Northeast,633,Hungary
NB III - Southeast,1023,Hungary
Super League 1,197,Greece
Liga Nacional,234,Honduras
Liga 3,865,Portugal
Division 1,308,Saudi-Arabia
Pro League,307,Saudi-Arabia
Süper Lig,203,Turkey
1. Lig,204,Turkey
FKF Premier League,276,Kenya
Women's Championship,699,England
FA WSL,44,England
Central Youth League,676,Poland
Third League - Southeast,177,Bulgaria
2. Liga Interregional - Group 1,796,Switzerland
2. Liga Interregional - Group 2,797,Switzerland
2. Liga Interregional - Group 3,798,Switzerland
2. Liga Interregional - Group 4,799,Switzerland
